Error while scraping https://www.hltv.org/stats/players/13273/ace?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13780/dimasick?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/3410/robo?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/5287/tenzki?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/203/n0thing?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7935/roca?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/4216/letn1?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/2730/chrisj?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11844/flickz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10470/mitch?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/1045/maikelele?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9680/noobster?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/3183/spyleader?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7/friis?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11064/dazzle?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7982/to1nou?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12086/hugh?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7980/despe?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8522/fugly?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8744/emagine?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8570/gruby?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10560/yel?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/20104/s1n?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8242/reatz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12876/dickstacy?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/2299/neno?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/17510/j0lz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/483/edward?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8727/waterfallz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7253/steel?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/20422/owner?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8413/zero?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13229/snakes?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/18706/freshie?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8517/relyks?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/16705/altekz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10840/tatazin?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/1883/glace?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11238/oderus?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8724/1uke?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/16435/capsen?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9911/kreaz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11515/kenzor?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8347/hazed?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9069/nifty?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13155/speed4k?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9339/impression?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19044/f1ku?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10663/rolex?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/4637/zeff?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19594/nbqq?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10397/cromen?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7433/adren?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/18317/magixx?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9416/obj?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7383/zqks?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/545/moddii?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7248/xseven?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7527/pyth?startDate=2021-01-01&endDate=2021-12-31, skipping file
