gX,gY,idx
118.64406779661022,949.1525423728812,165
118.64406779661022,1033.8983050847455,166
118.64406779661022,1118.6440677966102,167
118.64406779661022,1203.3898305084745,168
118.64406779661022,1288.1355932203387,169
118.64406779661022,1372.8813559322034,170
118.64406779661022,1457.6271186440677,171
118.64406779661022,1542.372881355932,172
118.64406779661022,1627.1186440677966,173
118.64406779661022,2474.5762711864404,174
118.64406779661022,2559.3220338983047,175
118.64406779661022,2728.8135593220336,176
118.64406779661022,2813.559322033898,177
118.64406779661022,2898.3050847457625,178
118.64406779661022,2983.050847457627,179
118.64406779661022,3067.796610169491,180
118.64406779661022,3152.542372881356,181
203.3898305084745,16.949152542372758,182
203.3898305084745,101.69491525423724,183
203.3898305084745,440.6779661016949,184
203.3898305084745,525.4237288135591,185
203.3898305084745,610.1694915254236,186
203.3898305084745,694.9152542372881,187
203.3898305084745,1203.3898305084745,188
203.3898305084745,1288.1355932203387,189
203.3898305084745,1372.8813559322034,190
203.3898305084745,1457.6271186440677,191
203.3898305084745,1542.372881355932,192
203.3898305084745,1627.1186440677966,193
203.3898305084745,1711.8644067796608,194
203.3898305084745,1796.610169491525,195
203.3898305084745,2474.5762711864404,196
203.3898305084745,2559.3220338983047,197
203.3898305084745,2644.0677966101694,198
203.3898305084745,2728.8135593220336,199
203.3898305084745,2813.559322033898,200
203.3898305084745,2898.3050847457625,201
203.3898305084745,2983.050847457627,202
203.3898305084745,3067.796610169491,203
203.3898305084745,3152.542372881356,204
288.1355932203387,16.949152542372758,205
288.1355932203387,101.69491525423724,206
288.1355932203387,186.4406779661017,207
288.1355932203387,271.18644067796595,208
288.1355932203387,355.9322033898304,209
288.1355932203387,440.6779661016949,210
288.1355932203387,525.4237288135591,211
288.1355932203387,610.1694915254236,212
288.1355932203387,694.9152542372881,213
288.1355932203387,1203.3898305084745,214
288.1355932203387,1288.1355932203387,215
288.1355932203387,1372.8813559322034,216
288.1355932203387,1542.372881355932,217
288.1355932203387,1627.1186440677966,218
288.1355932203387,1711.8644067796608,219
288.1355932203387,1796.610169491525,220
288.1355932203387,1881.3559322033896,221
288.1355932203387,1966.101694915254,222
288.1355932203387,2474.5762711864404,223
288.1355932203387,2559.3220338983047,224
288.1355932203387,2644.0677966101694,225
288.1355932203387,2728.8135593220336,226
288.1355932203387,2813.559322033898,227
288.1355932203387,2898.3050847457625,228
288.1355932203387,2983.050847457627,229
288.1355932203387,3067.796610169491,230
288.1355932203387,3152.542372881356,231
372.8813559322034,16.949152542372758,232
372.8813559322034,525.4237288135591,233
372.8813559322034,610.1694915254236,234
372.8813559322034,694.9152542372881,235
372.8813559322034,1711.8644067796608,236
372.8813559322034,1796.610169491525,237
372.8813559322034,1881.3559322033896,238
372.8813559322034,1966.101694915254,239
372.8813559322034,2050.8474576271183,240
372.8813559322034,2135.593220338983,241
372.8813559322034,2474.5762711864404,242
372.8813559322034,2559.3220338983047,243
372.8813559322034,2644.0677966101694,244
372.8813559322034,2728.8135593220336,245
372.8813559322034,2898.3050847457625,246
372.8813559322034,2983.050847457627,247
372.8813559322034,3067.796610169491,248
372.8813559322034,3152.542372881356,249
457.6271186440677,16.949152542372758,250
457.6271186440677,525.4237288135591,251
457.6271186440677,610.1694915254236,252
457.6271186440677,1881.3559322033896,253
457.6271186440677,1966.101694915254,254
457.6271186440677,2050.8474576271183,255
457.6271186440677,2135.593220338983,256
457.6271186440677,2474.5762711864404,257
457.6271186440677,2559.3220338983047,258
457.6271186440677,2644.0677966101694,259
457.6271186440677,2728.8135593220336,260
457.6271186440677,2813.559322033898,261
457.6271186440677,2898.3050847457625,262
457.6271186440677,2983.050847457627,263
457.6271186440677,3067.796610169491,264
457.6271186440677,3152.542372881356,265
457.6271186440677,3237.2881355932204,266
457.6271186440677,3322.033898305084,267
457.6271186440677,3406.779661016949,268
457.6271186440677,3491.5254237288136,269
457.6271186440677,3576.2711864406774,270
542.3728813559319,16.949152542372758,271
542.3728813559319,525.4237288135591,272
542.3728813559319,610.1694915254236,273
542.3728813559319,694.9152542372881,274
542.3728813559319,1881.3559322033896,275
542.3728813559319,1966.101694915254,276
542.3728813559319,2050.8474576271183,277
542.3728813559319,2135.593220338983,278
542.3728813559319,2474.5762711864404,279
542.3728813559319,2559.3220338983047,280
542.3728813559319,2644.0677966101694,281
542.3728813559319,2728.8135593220336,282
542.3728813559319,2813.559322033898,283
542.3728813559319,2898.3050847457625,284
542.3728813559319,2983.050847457627,285
542.3728813559319,3067.796610169491,286
542.3728813559319,3152.542372881356,287
542.3728813559319,3237.2881355932204,288
542.3728813559319,3322.033898305084,289
542.3728813559319,3406.779661016949,290
542.3728813559319,3491.5254237288136,291
542.3728813559319,3576.2711864406774,292
627.1186440677966,16.949152542372758,293
627.1186440677966,525.4237288135591,294
627.1186440677966,610.1694915254236,295
627.1186440677966,694.9152542372881,296
627.1186440677966,1881.3559322033896,297
627.1186440677966,1966.101694915254,298
