player_name,rating_2.0,DPR,KAST,Impact,ADR,KPR,total_kills,HS%,total_deaths,KD_ratio,dmgPR,grenade_dmgPR,maps_played,rounds_played,APR,saved_by_teammatePR,saved_teammatesPR,rounds_with_kils,KD_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_W%_after_opening,opening_kill_in_W_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,maps_W%,rating_2.0_1+,rating_2.0_1+_streak,rating_1.0_all_Career,clutches_won_1on1,clutches_lost_1on1,clutches_won_1on2,clutches_won_1on3,clutches_won_1on4,clutches_won_1on5
suNny,0.695121951,0.418604651,0.687096774,0.635514019,0.733471074,0.703703704,0.12379294,0.533589251,0.115906289,0.591304348,0.733471074,0.25,0.048309179,0.127021738,0.375,0.444444444,0.5,0.127122756,0.415596767,0.084670232,0.067657993,0.381642512,0.481481481,0.76,0.387387387,0.119525174,0.125805229,0.119555935,0.110539846,0.093023256,0.142857143,0.123164763,0.002928258,0.056338028,0.123829344,0.144230769,0.018018018,0.617333333,0.537,0.181818182,0.476190355,0.076923077,0.076923077,0.088888889,0.0,0.0,0.0
tucks,0.56097561,0.418604651,0.561290323,0.560747664,0.535123967,0.555555556,0.077410163,0.422264875,0.082151665,0.47826087,0.535123967,0.173333333,0.033816425,0.089835132,0.4375,0.5,0.444444444,0.079573023,0.38040894,0.05258467,0.057992565,0.246376812,0.382716049,0.733,0.321321321,0.09250921,0.07768094,0.077711358,0.074550129,0.046511628,0.0,0.084216966,0.000878477,0.031298905,0.053069719,0.067307692,0.009009009,0.781333333,0.414,0.090909091,0.476190355,0.038461538,0.038461538,0.022222222,0.0,0.0,0.0
s4ltovsk1yy,0.731707317,0.23255814,0.777419355,0.644859813,0.561983471,0.685185185,0.680702865,0.414587332,0.581997534,0.686956522,0.561983471,0.11,0.268115942,0.707608969,0.1875,0.444444444,0.5,0.718340611,0.650499287,0.59714795,0.373234201,0.52173913,0.617283951,0.745,0.468468468,0.668849775,0.736263736,0.638770282,0.580976864,0.476744186,0.285714286,0.334013051,0.535578331,0.192488263,0.683662851,0.576923077,0.09009009,0.717333333,0.637,0.333333333,0.476190355,0.666666667,0.666666667,0.711111111,0.461538462,0.4,0.0
shalfey,0.829268293,0.23255814,0.812903226,0.747663551,0.752066116,0.759259259,0.756688301,0.485604607,0.610049322,0.739130435,0.752066116,0.133333333,0.288647343,0.740714119,0.4375,0.5,0.5,0.785055798,0.792201617,0.669340463,0.414126394,0.531400966,0.654320988,0.731,0.477477477,0.672329104,0.786661614,0.715627669,0.683804627,0.627906977,0.214285714,0.771411093,0.067349927,0.195618153,0.618106139,0.509615385,0.153153153,0.810666667,0.721,0.393939394,0.476190355,0.615384615,0.615384615,0.711111111,0.307692308,0.0,0.0
Hobbit,0.756097561,0.348837209,0.741935484,0.747663551,0.731404959,0.703703704,0.355390217,0.476007678,0.322595561,0.626086957,0.731404959,0.186666667,0.143719807,0.362839243,0.5,0.5,0.388888889,0.363415818,0.47360913,0.33600713,0.288475836,0.347826087,0.592592593,0.757,0.489489489,0.345886205,0.355437666,0.341588386,0.349614396,0.290697674,0.0,0.364192496,0.00204978,0.162754304,0.324661811,0.375,0.054054054,0.877333333,0.683,0.242424242,0.476190355,0.294871795,0.294871795,0.333333333,0.384615385,0.0,0.0
bottle,0.804878049,0.348837209,0.787096774,0.831775701,0.739669421,0.759259259,0.034984961,0.704414587,0.028976572,0.660869565,0.739669421,0.106666667,0.013285024,0.034962213,0.3125,0.666666667,0.5,0.032751092,0.4170233,0.034759358,0.023048327,0.483091787,0.703703704,0.7,0.525525526,0.032951289,0.028419856,0.035866781,0.033419023,0.069767442,0.0,0.037112561,0.0,0.018779343,0.032258065,0.0,0.009009009,0.556,0.667,0.151515152,0.476190355,0.051282051,0.051282051,0.0,0.076923077,0.0,0.0
stavn,0.841463415,0.302325581,0.835483871,0.785046729,0.824380165,0.796296296,0.449263891,0.389635317,0.368834772,0.72173913,0.824380165,0.22,0.170289855,0.428482673,0.5625,0.555555556,0.722222222,0.458272683,0.612933904,0.377005348,0.264684015,0.45410628,0.617283951,0.731,0.459459459,0.384363488,0.43956044,0.469684031,0.372750643,0.360465116,0.285714286,0.455138662,0.031625183,0.087636933,0.41207076,0.528846154,0.081081081,0.845333333,0.732,0.454545455,0.476190355,0.487179487,0.487179487,0.177777778,0.230769231,0.2,0.0
phzy,0.707317073,0.23255814,0.741935484,0.644859813,0.555785124,0.648148148,0.50213709,0.136276392,0.445900123,0.643478261,0.555785124,0.13,0.210144928,0.539135502,0.3125,0.5,0.5,0.523047065,0.533999049,0.420677362,0.300371747,0.444444444,0.555555556,0.782,0.456456456,0.529471961,0.524820008,0.485055508,0.429305913,0.395348837,0.214285714,0.23776509,0.411127379,0.106416275,0.528616025,0.326923077,0.09009009,0.732,0.577,0.303030303,0.476190355,0.487179487,0.487179487,0.555555556,0.769230769,0.0,0.0
meyern,0.719512195,0.279069767,0.735483871,0.644859813,0.621900826,0.703703704,0.275763812,0.656429942,0.241368681,0.652173913,0.621900826,0.136666667,0.111111111,0.283364209,0.25,0.5,0.666666667,0.280931587,0.485021398,0.204991087,0.13605948,0.487922705,0.543209877,0.727,0.402402402,0.272001637,0.275104206,0.266438941,0.236503856,0.325581395,0.071428571,0.274265905,0.023718887,0.039123631,0.293444329,0.134615385,0.081081081,0.673333333,0.559,0.212121212,0.476190355,0.269230769,0.269230769,0.288888889,0.230769231,0.0,0.0
dycha,0.731707317,0.348837209,0.764516129,0.682242991,0.727272727,0.703703704,0.533481083,0.560460653,0.488594328,0.617391304,0.727272727,0.183333333,0.216183575,0.549112397,0.5,0.5,0.5,0.550703542,0.496433666,0.432263815,0.355390335,0.367149758,0.530864198,0.718,0.411411411,0.524150634,0.545661235,0.511528608,0.506426735,0.38372093,0.142857143,0.514070147,0.008199122,0.3114241,0.600416233,0.538461538,0.054054054,0.785333333,0.7,0.333333333,0.476190355,0.397435897,0.397435897,0.533333333,0.153846154,0.0,0.0
detr0ittJ,0.817073171,0.255813953,0.8,0.775700935,0.671487603,0.777777778,0.497388001,0.261036468,0.401818742,0.739130435,0.671487603,0.093333333,0.190821256,0.479954378,0.25,0.444444444,0.555555556,0.508733624,0.65572991,0.504456328,0.252788104,0.68115942,0.777777778,0.725,0.585585586,0.43471142,0.502463054,0.467122118,0.455012853,0.558139535,0.0,0.197389886,0.47818448,0.046948357,0.50364204,0.307692308,0.198198198,0.670666667,0.692,0.363636364,0.476190355,0.602564103,0.602564103,0.555555556,0.384615385,0.2,0.0
gafolo,0.695121951,0.23255814,0.738709677,0.635514019,0.510330579,0.648148148,0.375653,0.166986564,0.332305795,0.652173913,0.510330579,0.1,0.161835749,0.40183983,0.1875,0.5,0.5,0.393255701,0.504517356,0.334224599,0.214869888,0.507246377,0.604938272,0.755,0.462462462,0.391117479,0.395604396,0.368915457,0.305912596,0.302325581,0.071428571,0.115008157,0.421376281,0.086071987,0.29760666,0.298076923,0.063063063,0.741333333,0.585,0.242424242,0.476190355,0.320512821,0.320512821,0.377777778,0.615384615,0.4,0.0
KENSI,0.707317073,0.279069767,0.767741935,0.607476636,0.636363636,0.648148148,0.527307266,0.550863724,0.478884094,0.626086957,0.636363636,0.166666667,0.218599034,0.562603879,0.375,0.5,0.5,0.547549733,0.507845934,0.385026738,0.351672862,0.31884058,0.456790123,0.737,0.36036036,0.551166598,0.543766578,0.52177626,0.457583548,0.337209302,0.357142857,0.529363785,0.024011713,0.122065728,0.532778356,0.673076923,0.054054054,0.834666667,0.654,0.181818182,0.476190355,0.423076923,0.423076923,0.555555556,0.153846154,0.0,0.0
